"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"72","Gracias pose shootings advertisement momentcam events laspalmas spain",FALSE,0,NA,2017-10-19 16:42:00,FALSE,NA,"921053832246906880",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Annie_su23",2,TRUE,FALSE,NA,NA
"73","Gracias pose shootings advertisement momentcam events laspalmas spain",FALSE,1,NA,2017-10-19 16:02:45,FALSE,NA,"921043954061271040",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Annie_su23",2,FALSE,FALSE,NA,NA
"74","Fruit of Quran Putting Beheadings amp Shootings in Context RT SanBernardino Shootings",FALSE,0,NA,2017-10-19 15:09:27,FALSE,NA,"921030539972407296",NA,"<a href=""https://www.socialjukebox.com"" rel=""nofollow"">The Social Jukebox</a>","testisfidelis",0,FALSE,FALSE,NA,NA
"75","Fruitof QuranPutting SanBernardino Shootings in Context RT PJNET PatriotBrigade",FALSE,0,NA,2017-10-19 15:08:33,FALSE,NA,"921030315023446016",NA,"<a href=""https://www.socialjukebox.com"" rel=""nofollow"">The Social Jukebox</a>","testisfidelis",0,FALSE,FALSE,NA,NA
"76","Fruitof QuranPutting SanBernardino Shootings in Context RT                   tcot",FALSE,0,NA,2017-10-19 15:08:27,FALSE,NA,"921030290126135296",NA,"<a href=""https://www.socialjukebox.com"" rel=""nofollow"">The Social Jukebox</a>","testisfidelis",0,FALSE,FALSE,NA,NA
"77","What is the lifespan for hurricanes amp mass shootings on US soil for congress amp news cycle as far as progress amp publics interest NRA",FALSE,0,NA,2017-10-19 12:21:07,FALSE,NA,"920988177938157568",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DeeAnn53",0,FALSE,FALSE,NA,NA
"78","Ep Fires MentalHealth Shootings Safety amp Service A Chat LAFDs Assistant Chief",FALSE,0,NA,2017-10-19 11:09:04,FALSE,NA,"920970047815856128",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DoctorLetamendi",0,FALSE,FALSE,NA,NA
"79","Ep Fires MentalHealth Shootings Safety amp Service A Chat LAFDs Assistant Chief",FALSE,0,NA,2017-10-19 11:06:36,FALSE,NA,"920969424697479168",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","OlogyResearch",0,FALSE,FALSE,NA,NA
"80","Babypass mehrere Shootings in Lindau am Bodensee Shootings nach der Geburt",FALSE,0,NA,2017-10-19 08:00:05,FALSE,NA,"920922486677655555",NA,"<a href=""https://socialorga.pontimania.de"" rel=""nofollow"">postman4wobus</a>","Vernon6074",0,FALSE,FALSE,NA,NA
"81","SanBernardino Shootings inContext Quran RT CatholicPriest Islam jihad",FALSE,0,NA,2017-10-19 06:19:20,FALSE,NA,"920897130524372992",NA,"<a href=""http://androproid.com/"" rel=""nofollow"">arabscanadahelper</a>","Arabs2canada",1,TRUE,FALSE,NA,NA
